 ISBN            Amazon         WWU            Profit         ROI            
9780307476074   $5.23           $10.75          $-3.85          -98.43       


9780375703768   $6.98           $14.25          $-3.85          -98.68       


9780826323576   $9.95           $20.25          $-3.81          -98.74       


9780393972771   $7.98           $16.25          $-3.85          -98.79       


9780231134996   $9.00           $18.25          $-3.87          -99.04       


9780500289990   $9.00           $18.25          $-3.87          -99.04       


9781582343303   $5.31           $10.75          $-3.93          -99.30       


9780073385372   $49.00          $98.50          $-3.74          -99.53       


9780871702807   $34.00          $68.25          $-3.87          -99.67       


9781111526436   $60.00          $120.25         $-3.87          -99.80       


9780062333100   $8.73           $17.50          $-3.97          -99.84       


9780393975161   $5.86           $11.75          $-3.98          -99.85       


9781259684487   $-1.00          $136.25         $0.00           -100.00      


9780816678228   $19.04          $0.00           $0.00           -100.00      


9780975912539   $14.07          $0.00           $0.00           -100.00      


9781578868636   $20.29          $0.00           $0.00           -100.00      


9780917360589   $39.88          $0.00           $0.00           -100.00      


9780325050836   $26.92          $0.00           $0.00           -100.00      


9780393935844   $16.72          $0.00           $0.00           -100.00      


9781453401491   $-1.00          $0.00           $0.00           -100.00      


9780978866402   $-1.00          $0.00           $0.00           -100.00      


9781453401576   $-1.00          $0.00           $0.00           -100.00      


9781615492664   $19.99          $0.00           $0.00           -100.00      


9781464199820   $-1.00          $0.00           $0.00           -100.00      


9780618230228   $0.90           $0.00           $0.00           -100.00      


9780133423983   $79.68          $0.00           $0.00           -100.00      


9780133019926   $98.29          $0.00           $0.00           -100.00      


9781400052189   $-1.00          $10.75          $0.00           -100.00      


9780132963244   $133.56         $0.00           $0.00           -100.00      


9780132925846   $129.77         $0.00           $0.00           -100.00      


9780132889742   $22.15          $0.00           $0.00           -100.00      


9781133072553   $126.76         $0.00           $0.00           -100.00      
