 ISBN            Amazon         WWU            Profit         ROI            
9781588261137   $1.17           $15.25          $2.47           25.10        


9780395927205   $0.01           $10.00          $1.00           24.75        


9780060569662   $0.01           $10.00          $1.00           24.75        


9780609807378   $0.01           $10.00          $1.00           24.75        


9781400079377   $0.01           $10.00          $1.00           24.75        


9780486210803   $0.01           $10.00          $1.00           24.75        


9780393320978   $0.01           $10.00          $1.00           24.75        


9780060512637   $0.01           $10.00          $1.00           24.75        


9780495913795   $30.99          $149.00         $39.52          24.39        


9780873552172   $1.99           $18.75          $3.39           23.49        


9780142001615   $0.38           $11.50          $1.38           22.88        


9780801484032   $2.97           $23.00          $4.54           22.56        


9780140277722   $0.23           $10.75          $1.15           21.92        


9780452273870   $0.17           $10.25          $0.96           19.11        


9781416596134   $1.84           $17.50          $2.92           18.52        


9780679725169   $0.01           $9.50           $0.75           18.50        


9780385337441   $0.01           $9.50           $0.75           18.50        


9781890447496   $0.01           $9.50           $0.75           18.50        


9780140444254   $0.01           $9.50           $0.75           18.50        


9780375758409   $0.01           $9.50           $0.75           18.50        


9780156907392   $0.01           $9.50           $0.75           18.50        


9780060973896   $0.01           $9.50           $0.75           18.50        


9780195137699   $6.10           $35.75          $7.79           16.70        


9780826317971   $0.21           $10.00          $0.80           14.05        


9780809016358   $0.59           $11.50          $1.17           12.66        


9780812977868   $0.32           $10.25          $0.81           11.48        


9780452273405   $0.01           $8.75           $0.38           9.13         


9780192839497   $0.01           $8.75           $0.38           9.13         


9780679729525   $0.01           $8.75           $0.38           9.13         


9780316881791   $0.01           $8.75           $0.38           9.13         


9780156032278   $0.01           $8.75           $0.38           9.13         


9780140274981   $1.18           $13.50          $1.58           7.74         


9780195061659   $0.04           $8.75           $0.34           7.57         


9780140447590   $0.41           $10.25          $0.72           7.16         


9780520204195   $4.46           $27.00          $5.05           6.98         


9780140445657   $0.43           $10.25          $0.71           6.22         


9780914610007   $1.00           $12.25          $1.13           2.71         


9780415918299   $7.99           $40.50          $8.27           2.34         


9780300115291   $3.04           $20.25          $3.09           0.78         


9781592289448   $0.89           $11.50          $0.87           -0.41        


9780143106708   $0.76           $10.75          $0.63           -2.84        


9780321756664   $31.17          $130.25         $29.96          -3.43        


9780451232175   $0.66           $10.25          $0.47           -3.98        


9780375842207   $0.30           $8.75           $0.08           -5.01        


9780930289232   $1.53           $13.50          $1.23           -5.43        


9780679734772   $0.01           $7.50           $-0.25          -6.50        


9780888991652   $0.01           $7.50           $-0.25          -6.50        


9780439023528   $0.01           $7.50           $-0.25          -6.50        


9780393911909   $8.00           $38.25          $7.14           -7.21        


9780375706707   $0.74           $10.25          $0.39           -7.29        


9780811202251   $0.88           $10.75          $0.50           -7.70        


9780312427252   $0.77           $10.25          $0.37           -8.51        


9780312108021   $1.95           $14.75          $1.43           -8.67        


9780534509033   $11.30          $50.50          $9.96           -8.76        


9780374527075   $0.42           $8.75           $-0.04          -10.32       


9780452006478   $1.68           $13.50          $1.08           -10.58       


9781596913424   $1.16           $11.50          $0.60           -10.87       


9780073251844   $5.88           $29.25          $4.75           -11.40       


9780393314823   $2.08           $14.75          $1.30           -12.77       


9780547165097   $35.00          $138.00         $30.01          -12.80       


9780140178241   $1.56           $12.75          $0.82           -13.24       


9781554200368   $1.60           $12.75          $0.79           -14.58       


9780064472883   $0.01           $6.75           $-0.63          -15.88       


9780486427034   $0.01           $6.75           $-0.63          -15.88       


9780140442014   $0.01           $6.75           $-0.63          -15.88       


9780374500016   $0.01           $6.75           $-0.63          -15.88       


9780143035466   $1.10           $10.75          $0.29           -16.01       


9780435913564   $1.59           $12.50          $0.67           -16.49       


9780300095241   $1.33           $11.50          $0.43           -16.92       


9780803267114   $2.24           $14.75          $1.14           -17.58       


9780140077032   $1.18           $10.75          $0.21           -18.86       


9780393311068   $0.98           $10.00          $0.03           -19.11       


9780123972194   $20.64          $81.00          $15.87          -19.37       


9780226720630   $3.39           $18.50          $1.87           -20.60       


9780231110938   $3.47           $18.75          $1.91           -20.84       


9780295960845   $4.00           $20.25          $2.14           -23.34       


9780840061553   $43.62          $159.75         $32.27          -23.85       


9780898622171   $3.69           $19.00          $1.82           -24.35       


9780743251167   $1.36           $10.75          $0.02           -24.95       


9780141439587   $0.01           $6.00           $-1.00          -25.25       


9780809015832   $1.17           $10.00          $-0.16          -25.78       


9780325005119   $5.35           $24.50          $2.91           -26.12       


9780312384487   $0.25           $6.75           $-0.87          -26.30       


9780321010063   $24.44          $90.75          $16.95          -26.36       


9780471699675   $22.77          $84.50          $15.49          -27.20       


9780060850524   $1.26           $10.00          $-0.25          -28.76       


