ISBN            WWU Price       Amazon Price    Difference     
9781285763880   153.00          122.38          30.62          
9780393911909   38.25           8.00            30.25          
9780130601414   60.75           30.78           29.97          
9781403960924   33.75           3.95            29.80          
9780195137699   35.75           6.10            29.65          
9780736062107   35.00           5.44            29.56          
9781118027059   41.75           12.41           29.34          
9780137444267   73.75           45.07           28.68          
9780130492920   68.00           39.96           28.04          
9780073535104   100.00          72.00           28.00          
9780470126417   65.00           37.51           27.49          
9780521145213   74.25           46.83           27.42          
9780135123621   95.00           67.83           27.17          
9780205259472   107.00          79.89           27.11          
9780198207634   60.50           33.75           26.75          
9780735618794   27.00           0.38            26.62          
9780470646342   56.50           29.89           26.61          
9780470571439   67.50           41.00           26.50          
9780878939336   91.00           64.50           26.50          
9780132693264   64.50           38.00           26.50          
9780205454464   76.25           50.00           26.25          
9780230110632   74.25           48.00           26.25          
9781429242288   143.25          117.09          26.16          
9781285052342   116.00          89.89           26.11          
9780878939084   98.00           71.99           26.01          
9781452259116   66.25           40.84           25.41          
9780325003085   41.75           16.63           25.12          
9780325006536   25.25           0.24            25.01          
9780674748880   25.00           0.01            24.99          
9780262220750   64.25           39.96           24.29          
9780078050473   40.00           15.99           24.01          
9780136108047   107.00          83.05           23.95          
9780078035487   150.00          126.23          23.77          
9781133626176   51.25           27.74           23.51          
9780073251844   29.25           5.88            23.37          
9780073534312   73.25           49.94           23.31          
9781551117652   47.25           24.00           23.25          
9780415872515   35.75           12.77           22.98          
9780520204195   27.00           4.46            22.54          
9780521776721   40.50           17.99           22.51          
9780393932928   66.50           44.00           22.50          
9780195565492   46.50           24.45           22.05          
9781111344382   98.75           76.80           21.95          
9780137075461   124.75          102.99          21.76          
9781551119656   38.50           17.00           21.50          
9780520082816   21.50           0.01            21.49          
9780750685931   40.50           19.06           21.44          
9780325018263   39.75           18.41           21.34          
9780205851737   78.00           56.92           21.08          
9780078093203   121.00          99.94           21.06          
9780321880949   68.50           47.69           20.81          
9782707306951   27.00           6.40            20.60          
9781412981781   75.00           54.45           20.55          
